ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Total_Spent,Tenure_Days,Tenure_Months,Total_Purchases,Avg_Purchase_Value,High_Gold_Spender,Is_US
5585,1972,Graduation,Single,"$21,359.00 ",1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,53,48,4576,150.3,7,6.857142857142857,0,False
7030,1955,PhD,Married,"$66,465.00 ",0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,70,1485,4597,151.0,35,42.42857142857143,0,False
1524,1983,2n Cycle,Single,"$81,698.00 ",0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,42,1104,4626,152.0,16,69.0,0,False
3657,1986,Graduation,Single,"$39,146.00 ",1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,39,165,4641,152.5,11,15.0,0,False
5740,1970,2n Cycle,Divorced,"$25,959.00 ",1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,55,56,4641,152.5,7,8.0,0,False
9595,1961,Graduation,Together,"$64,260.00 ",0,0,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,64,1574,4675,153.6,14,112.42857142857143,0,False
3158,1973,Graduation,Married,"$32,300.00 ",1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,52,39,4683,153.8,5,7.8,0,False
5114,1965,Master,Married,"$74,806.00 ",0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,60,965,4698,154.3,16,60.3125,0,False
340,1970,Graduation,Divorced,"$72,967.00 ",0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,55,497,4702,154.5,19,26.157894736842106,1,False
8805,1960,Graduation,Single,"$48,904.00 ",0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,65,371,4715,154.9,17,21.823529411764707,0,True
1241,1984,2n Cycle,Married,"$14,796.00 ",1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,41,51,4791,157.4,6,8.5,0,False
1402,1954,Master,Married,"$66,991.00 ",0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,71,1253,4797,157.6,21,59.666666666666664,0,False
7264,1978,2n Cycle,Single,"$52,195.00 ",2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,47,17,4189,137.6,4,4.25,0,False
1619,1956,Graduation,Married,"$90,369.00 ",0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,69,1588,4203,138.1,17,93.41176470588235,0,False
6398,1974,Basic,Married,"$18,393.00 ",1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,51,50,4233,139.1,8,6.25,0,False
1857,1952,Graduation,Single,"$47,139.00 ",1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,73,83,4256,139.8,7,11.857142857142858,0,False
4877,1973,Master,Married,"$38,576.00 ",0,1,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,52,41,4258,139.9,5,8.2,0,False
3066,1975,PhD,Together,"$61,905.00 ",0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,50,231,4286,140.8,12,19.25,0,False
10286,1962,Graduation,Married,"$83,715.00 ",0,0,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,63,926,4287,140.8,24,38.583333333333336,0,False
1992,1964,Graduation,Married,"$60,597.00 ",0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,61,893,4320,141.9,16,55.8125,1,False
4246,1982,Master,Single,"$6,560.00 ",0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,43,373,4340,142.6,2,186.5,1,False
10623,1961,Master,Together,"$48,330.00 ",0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,64,32,4367,143.5,5,6.4,0,False
4867,1968,PhD,Single,"$38,236.00 ",1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,57,88,4423,145.3,11,8.0,0,False
3112,1977,Master,Married,"$22,701.00 ",1,0,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,48,24,4438,145.8,5,4.8,0,False
4865,1974,Master,Divorced,"$53,367.00 ",1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,51,400,4443,146.0,21,19.047619047619047,0,False
6287,1986,Graduation,Together,"$34,728.00 ",1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,39,36,4475,147.0,5,7.2,0,False
4405,1956,Master,Married,"$63,915.00 ",0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,69,789,4475,147.0,23,34.30434782608695,0,False
5332,1960,2n Cycle,Married,"$82,504.00 ",0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,65,1066,4478,147.1,17,62.705882352941174,0,False
1519,1972,PhD,Single,"$38,578.00 ",1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,53,73,4513,148.3,9,8.11111111111111,0,False
9080,1972,PhD,Single,"$38,578.00 ",1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,53,73,4513,148.3,9,8.11111111111111,0,False
1772,1975,PhD,Married,"$79,174.00 ",0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,50,2043,4675,153.6,19,107.52631578947368,1,False
5341,1962,2n Cycle,Divorced,"$81,975.00 ",0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,63,1588,4681,153.8,14,113.42857142857143,0,False
5510,1977,Master,Married,"$43,263.00 ",0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,48,441,4726,155.3,16,27.5625,1,False
3887,1970,Graduation,Single,"$27,242.00 ",1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,55,106,4736,155.6,7,15.142857142857142,0,False
7022,1971,Graduation,Married,"$76,445.00 ",1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,54,1410,4780,157.0,21,67.14285714285714,0,False
9999,1965,Graduation,Together,"$75,276.00 ",0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,60,1040,4781,157.1,23,45.21739130434783,0,False
10352,1963,Graduation,Widow,"$34,213.00 ",1,1,2012-09-07,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,62,117,4801,157.7,9,13.0,0,False
7919,1976,PhD,Together,"$72,335.00 ",0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,49,2092,4826,158.5,23,90.95652173913044,0,False
4114,1964,Master,Married,"$79,143.00 ",0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,61,1693,4828,158.6,29,58.37931034482759,0,False
7990,1947,Graduation,Married,"$27,469.00 ",0,0,2012-08-02,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,78,17,4837,158.9,4,4.25,0,False
9888,1969,Graduation,Together,"$68,695.00 ",0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,56,1091,4145,136.2,16,68.1875,0,False
4399,1969,Graduation,Together,"$68,695.00 ",0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,56,1091,4145,136.2,16,68.1875,0,False
4452,1957,Graduation,Single,"$50,388.00 ",0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,68,372,4173,137.1,17,21.88235294117647,0,False
4785,1970,PhD,Together,"$77,622.00 ",0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,55,714,4217,138.5,22,32.45454545454545,0,False
8461,1962,Graduation,Divorced,"$46,102.00 ",2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,63,16,4252,139.7,4,4.0,0,False
3878,1980,2n Cycle,Single,"$31,859.00 ",1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,45,48,4263,140.0,5,9.6,0,False
9612,1987,2n Cycle,Single,"$23,830.00 ",0,0,2014-02-07,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,38,43,4283,140.7,5,8.6,0,False
4098,1973,Graduation,Married,"$24,639.00 ",1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,52,44,4293,141.0,9,4.888888888888889,0,False
158,1945,PhD,Together,"$71,604.00 ",0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,80,1196,4365,143.4,17,70.3529411764706,1,False
3896,1984,Graduation,Married,"$27,255.00 ",1,0,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,41,37,4375,143.7,5,7.4,0,False
9970,1977,Graduation,Together,"$55,375.00 ",0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,48,162,4396,144.4,9,18.0,0,False
4002,1960,PhD,Married,"$77,037.00 ",0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,65,1123,4400,144.5,27,41.592592592592595,0,False
10914,1970,Graduation,Single,"$24,163.00 ",1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,55,17,4401,144.6,6,2.8333333333333335,0,False
7279,1969,PhD,Together,"$69,476.00 ",0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,56,1044,4413,145.0,15,69.6,1,True
10582,1979,Graduation,Married,"$72,063.00 ",0,1,2013-07-03,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,46,758,4502,147.9,21,36.095238095238095,1,False
4470,1962,Master,Married,"$58,646.00 ",0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,63,140,4525,148.7,8,17.5,0,False
6183,1962,Master,Married,"$58,646.00 ",0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,63,140,4525,148.7,8,17.5,0,False
6379,1949,Master,Widow,"$47,570.00 ",1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,76,121,4537,149.0,9,13.444444444444445,0,True
8601,1980,Graduation,Married,"$80,011.00 ",0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,45,1395,4567,150.0,21,66.42857142857143,1,False
4827,1956,PhD,Single,"$54,998.00 ",0,1,2013-03-10,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,69,455,4617,151.7,20,22.75,0,False
6715,1948,PhD,Single,"$60,200.00 ",0,1,2013-01-02,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,77,685,4684,153.9,25,27.4,0,False
10676,1982,Graduation,Married,"$63,211.00 ",0,0,2012-11-02,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,43,1173,4745,155.9,20,58.65,1,False
1041,1973,PhD,Single,"$48,432.00 ",0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,52,424,4760,156.4,19,22.31578947368421,0,False
492,1973,PhD,YOLO,"$48,432.00 ",0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,52,424,4760,156.4,19,22.31578947368421,0,False
11133,1973,PhD,YOLO,"$48,432.00 ",0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,52,424,4760,156.4,19,22.31578947368421,0,False
4491,1949,Master,Married,"$62,845.00 ",1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,76,1178,4777,156.9,28,42.07142857142857,0,False
873,1949,Master,Married,"$62,845.00 ",1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,76,1178,4777,156.9,28,42.07142857142857,0,False
1631,1965,PhD,Together,"$65,220.00 ",0,0,2012-09-03,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,60,1282,4805,157.9,23,55.73913043478261,0,False
8278,1990,PhD,Married,"$74,214.00 ",0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,35,1711,4813,158.1,16,106.9375,0,False
6815,1980,2n Cycle,Married,"$96,547.00 ",0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,45,809,4178,137.3,21,38.523809523809526,1,False
254,1955,Graduation,Together,"$53,863.00 ",0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,70,473,4184,137.5,18,26.27777777777778,0,False
1349,1970,Graduation,Married,"$50,447.00 ",2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,55,148,4210,138.3,8,18.5,0,False
2534,1953,Graduation,Married,"$37,716.00 ",0,1,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,72,188,4210,138.3,10,18.8,0,False
2130,1982,Graduation,Together,"$45,203.00 ",2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,43,147,4239,139.3,8,18.375,0,False
2296,1975,Master,Married,"$37,368.00 ",1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,50,30,4336,142.4,4,7.5,0,False
3799,1955,Graduation,Married,"$67,225.00 ",0,1,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,70,868,4356,143.1,23,37.73913043478261,1,True
11084,1976,Master,Together,"$65,104.00 ",0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,49,1053,4368,143.5,17,61.94117647058823,0,False
5172,1976,Master,Together,"$65,104.00 ",0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,49,1053,4368,143.5,17,61.94117647058823,0,False
9504,1949,Master,Married,"$81,698.00 ",0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,76,1008,4376,143.8,25,40.32,0,False
850,1968,Graduation,Single,"$70,566.00 ",0,1,2013-10-06,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,57,757,4407,144.8,22,34.40909090909091,0,False
4477,1958,Graduation,Together,"$69,096.00 ",0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,67,653,4416,145.1,18,36.27777777777778,1,False
1945,1962,Graduation,Married,"$71,434.00 ",0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,63,1400,4425,145.4,21,66.66666666666667,1,False
7685,1978,Graduation,Married,"$33,039.00 ",1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,47,78,4434,145.7,7,11.142857142857142,0,False
6310,1978,Graduation,Married,"$33,039.00 ",1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,47,78,4434,145.7,7,11.142857142857142,0,False
10832,1958,Graduation,Together,"$46,610.00 ",0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,67,467,4487,147.4,14,33.357142857142854,1,False
3025,1958,Graduation,Single,"$49,967.00 ",0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,67,306,4497,147.7,15,20.4,0,False
2404,1976,Graduation,Married,"$53,359.00 ",1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,49,257,4539,149.1,14,18.357142857142858,0,True
8581,1971,Master,Married,"$49,505.00 ",1,1,2013-03-05,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,54,751,4622,151.8,29,25.896551724137932,0,False
8755,1946,Master,Married,"$68,657.00 ",0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,79,1196,4635,152.3,18,66.44444444444444,0,False
10177,1954,Graduation,Divorced,"$72,071.00 ",0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,71,1338,4641,152.5,20,66.9,1,False
2429,1954,Graduation,Divorced,"$72,071.00 ",0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,71,1338,4641,152.5,20,66.9,1,False
8920,1967,Master,Single,"$59,235.00 ",1,0,2013-01-12,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,58,1128,4674,153.5,28,40.285714285714285,1,False
8430,1957,Graduation,Together,"$21,994.00 ",0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,68,22,4693,154.2,4,5.5,0,False
8619,1957,Graduation,Together,"$21,994.00 ",0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,68,22,4693,154.2,4,5.5,0,False
8996,1957,PhD,Married,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,68,603,4728,155.3,29,20.79310344827586,0,False
